,equity
2025-04-18 00:00:00+00:00,10000.0
2025-04-18 04:00:00+00:00,10000.0
2025-04-18 08:00:00+00:00,10000.0
2025-04-18 12:00:00+00:00,10000.0
2025-04-18 16:00:00+00:00,10000.0
2025-04-18 20:00:00+00:00,10000.0
2025-04-19 00:00:00+00:00,10000.0
2025-04-19 04:00:00+00:00,10000.0
2025-04-19 08:00:00+00:00,10000.0
2025-04-19 12:00:00+00:00,10000.0
2025-04-19 16:00:00+00:00,10000.0
2025-04-19 20:00:00+00:00,10000.0
2025-04-20 00:00:00+00:00,10000.0
2025-04-20 04:00:00+00:00,10000.0
2025-04-20 08:00:00+00:00,10000.0
2025-04-20 12:00:00+00:00,10000.0
2025-04-20 16:00:00+00:00,10000.0
2025-04-20 20:00:00+00:00,10000.0
2025-04-21 00:00:00+00:00,9995.252373813093
2025-04-21 04:00:00+00:00,10020.210664879918
2025-04-21 08:00:00+00:00,9969.812817383232
2025-04-21 12:00:00+00:00,10086.631817993017
2025-04-21 16:00:00+00:00,9908.852080973487
2025-04-21 20:00:00+00:00,9908.852080973487
2025-04-22 00:00:00+00:00,9908.852080973487
2025-04-22 04:00:00+00:00,9908.852080973487
2025-04-22 08:00:00+00:00,9908.852080973487
2025-04-22 12:00:00+00:00,9908.852080973487
2025-04-22 16:00:00+00:00,9908.852080973487
2025-04-22 20:00:00+00:00,9908.852080973487
2025-04-23 00:00:00+00:00,9908.852080973487
2025-04-23 04:00:00+00:00,9908.852080973487
2025-04-23 08:00:00+00:00,9908.852080973487
2025-04-23 12:00:00+00:00,9908.852080973487
2025-04-23 16:00:00+00:00,9908.852080973487
2025-04-23 20:00:00+00:00,9908.852080973487
2025-04-24 00:00:00+00:00,9908.852080973487
2025-04-24 04:00:00+00:00,9908.852080973487
2025-04-24 08:00:00+00:00,9908.852080973487
2025-04-24 12:00:00+00:00,9908.852080973487
2025-04-24 16:00:00+00:00,9908.852080973487
2025-04-24 20:00:00+00:00,9908.852080973487
2025-04-25 00:00:00+00:00,9908.852080973487
2025-04-25 04:00:00+00:00,9908.852080973487
2025-04-25 08:00:00+00:00,9908.852080973487
2025-04-25 12:00:00+00:00,9908.852080973487
2025-04-25 16:00:00+00:00,9908.852080973487
2025-04-25 20:00:00+00:00,9908.852080973487
2025-04-26 00:00:00+00:00,9908.852080973487
2025-04-26 04:00:00+00:00,9908.852080973487
